State,All fast food restaurants,Full-service restaurants,Subway,Starbucks,McDonalds,Dunkin Donut,Burger King,Taco Bell,Dominos,Wendys,Dairy Queen,KFC
Hawaii,97.5,89.9,7,6.4,5.2,0.8,2,2.1,1.6,0.7,0.5,1.1
New York,92.3,106.1,4.5,3.3,3.1,7.6,1.8,1,1.2,1.1,0.2,0.8
Maryland,89.7,59,6.8,4.6,4.7,4.7,2,1.5,2,1.6,0.5,1.1
Nevada,84.8,68.4,6.1,8.2,4.6,0.9,2.1,2.6,1.8,1.4,1.2,1.3
Ohio,82.8,65.2,8.9,3.8,5.2,1.9,2.9,3.2,2.2,3.5,2.2,1.7
Georgia,82.5,69.4,7.1,3.6,4.2,2.2,2.6,2.3,2.1,2.7,2,1.5
Illinois,82.5,77.7,7.8,4.8,5.2,5.5,2.4,2.1,1.6,1.6,2,1.2
California,82.3,80.4,5.7,7.4,3.2,0.3,1.4,2.1,1.4,0.7,0.2,1.1
Alabama,81.7,57.6,8.2,1.8,5,0.9,3.5,2.8,2.5,2,1.3,1.8
Rhode Island,81.3,110,5.9,2.4,2.9,16.4,2.3,1.5,2.5,1.7,0.2,1.3
New Jersey,81.2,89.1,2.2,3.3,2.9,10.1,2.1,1.1,1.8,1.6,0.9,0.6
Virginia,80.1,81.7,7.3,5.2,4.7,2.8,2.3,2.4,2.6,2.6,1.1,1.4
New Hampshire,79.8,100.2,6.3,2.4,4,16.2,2.3,1.5,2.1,1.7,0.9,1
Delaware,78.3,85.5,2.5,3.6,3.7,7.1,2.1,1.5,2.7,1.2,1.5,1.1
Tennessee,77.8,68.2,8.4,3.4,4.8,1.6,2.7,3.5,2.3,2.5,1.2,1.9
Massachusetts,77.5,94.5,4.7,3.9,3.4,16.3,1.7,1,1.9,1.4,0.5,0.7
Mississippi,77.3,58.1,9.6,1.2,4.7,0.3,3,2.8,2.4,3.2,0.9,2.3
North Carolina,76.9,75.2,7.2,3.9,4.6,2,2.3,2.4,2.7,2.5,0.9,1.7
Utah,76.2,53.1,6.1,3.7,3.5,0,2.2,1.9,2.2,2.6,0.8,1.2
Louisiana,76.2,65,9.3,2.2,5.1,0.3,3.4,2.9,2.3,2.7,0.7,1
Connecticut,76.1,97.1,8.1,3.4,4,14.4,1.8,1.4,1.5,1.5,1.1,1
Oklahoma,76,72.1,8.8,2.1,5.2,0.3,1.6,2.8,1.9,1.2,0.5,1.7
Texas,75.8,63.8,6.8,4.1,4.1,0.6,2,2.3,2.3,1.5,2,1
Colorado,75.7,88.2,6.7,8.8,3.6,0.8,2,2.6,2.3,2.3,1.5,1.2
Pennsylvania,75.5,75.9,5.6,3.1,3.8,5.1,2.1,1.4,1.8,2,1.5,1
Maine,74.9,110.3,8.2,2.3,4.6,12.2,2.5,1.5,1.9,1.2,1.7,1.3
Kansas,74.7,75.4,8,4.1,5.1,1,2.3,3.2,1.5,2.4,2.2,1.3
Kentucky,74.2,63.2,8.5,3,5.6,0.9,2.3,3.3,2.1,3.2,3.1,2.3
Michigan,73.9,72.1,8,3,5.4,0.8,2.9,3,1.3,2.4,1.6,1.6
West Virginia,73.8,66.2,9.7,2.2,5.8,1.3,3.5,3.5,2.3,3.9,3.9,2.1
Indiana,73.7,69.7,8.9,3.9,5.2,1.3,2.9,3.5,1.7,2.7,3.1,1.8
South Carolina,73.5,83.9,7.1,3.8,4.4,2,2.9,2.2,2.2,2.5,0.6,1.9
Oregon,73.4,104.1,6.4,8.2,3.8,0,2,2.7,1.9,1,2.3,1.2
New Mexico,73.4,66.7,7.8,4.5,5.1,0.8,2.6,2.8,2.9,2,1.6,1.8
Missouri,72.9,74.7,8,3.3,5.1,0.8,2.1,3.5,2.4,1.6,1.7,1.2
Nebraska,71.9,75.8,9.6,3.6,4,1,3.4,2.2,1.4,1.3,2.9,1.2
Arkansas,69.9,67.6,8.4,2,5.7,0.3,2.7,3.5,2.2,2.1,1,2
Montana,69.8,102.5,7,3.8,4.5,0,2.2,1.9,2.1,1.5,3.4,0.9
Vermont,68.3,109.9,7.2,1.9,4.2,8.2,1.1,0.8,2.4,0.6,0,1.1
Arizona,67.9,59.2,5.6,7.3,3.9,1.3,2.5,2.5,1.6,1.4,1.5,0.8
Iowa,67.7,79.1,8.9,3.7,4.6,1,2.6,1.7,1.3,1.3,3.3,1.3
Minnesota,67,69.1,7.4,3.8,4,0.5,2.1,1.5,2.3,1,4,0.7
Washington,66.8,85.1,6.8,9.7,3.4,0,1.6,1.9,2,1,1.3,1
North Dakota,65.6,76.5,8.7,2.5,3.1,0,2.8,1.4,2.1,1,5,1
Florida,65.5,78.9,6,3.6,4.2,4.1,2.7,2.1,1.9,2.5,0.7,1.2
Idaho,65.5,74.4,6.9,4.3,3.5,0,2,1.8,2.4,1.7,1.3,0.8
Wisconsin,65,86.4,9.1,3,5.1,1.2,2.1,2.3,1.8,0.9,2.2,1.1
South Dakota,63.9,81.5,10.1,3.3,3.4,0,3.1,1.8,1.9,0.8,4.5,0.8
Wyoming,62.5,96.2,10,4.3,4.8,0.2,2.8,2.4,3.8,2.4,1.6,1
Alaska,61.9,78.7,7.2,6.6,4.2,0.3,1.1,2.1,1.4,1.2,0.7,0.8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,